"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","subgenus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","rankmarker","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
11,"WL:SNAIL:ES:OCC:00010","Ellobiidae","Leucophytia bidentata",,"Leucophytia",,"bidentata",,"(Montagu, 1808)",2013-08-01,2013,"HumanObservation","adult",1,"exact count",43.432081,-2.898946,25,"Armintza playa","Lemoiz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found washed up between rocks","Animalia","sp.","checklist_snails_grancanaria:taxon:231c45de6bf9c187a1e3660d070c34dd","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
12,"WL:SNAIL:ES:OCC:00011","Ellobiidae","Pseudomelampus exiguus",,"Pseudomelampus",,"exiguus",,"(R. T. Lowe, 1832)",2013-08-01,2013,"HumanObservation","adult",3,"exact count",43.432081,-2.898946,25,"Armintza playa","Lemoiz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found washed up between rocks","Animalia","sp.","checklist_snails_grancanaria:taxon:69a10b75b50da8dc7847431bab22c127","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
13,"WL:SNAIL:ES:OCC:00012","Geomitridae","Helicella pampelonensis",,"Helicella",,"pampelonensis",,"(A. Schmidt, 1856)",2013-08-06,2013,"HumanObservation",,20,"estimate count",43.064564,-2.793003,100,"Gorbeiako Parke Naturala (between Pagomakurre-Kargaleku)","Zeanuri","Vizcaya","Spain","ES","Ward Langeraert","Han Raven","Larraz found itala and pamplonensis syntopic, so two separate species and not subspecies (Han Raven, personal comment)","empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:78a778d6bc0f175ca5e5bf310298a4a0","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
14,"WL:SNAIL:ES:OCC:00013","Sphaeriidae","Euglesa cf. casertana","cf.","Euglesa",,"cf. casertana",,,2013-08-06,2013,"HumanObservation","adult",1,"exact count",43.078969,-2.791581,200,"Gorbeiako Parke Naturala (Pagomakurre)","Areatza","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | near Pagomakurre in little stream","Animalia","sp.","checklist_snails_grancanaria:taxon:176b36cd13c33ea725fc1b6f435b5ec6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
15,"WL:SNAIL:ES:OCC:00014","Pomatiidae","Pomatias elegans",,"Pomatias",,"elegans",,"(O. F. Müller, 1774)",2013-08-08,2013,"HumanObservation","adult",8,"exact count",43.444463,-2.783305,100,"Ruta San Juan de Gaztelugatxe","Bermeo","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | in tiny bushes","Animalia","sp.","checklist_snails_grancanaria:taxon:9b2be12ef6e10587cfe6b2986f3901cf","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
16,"WL:SNAIL:ES:OCC:00015","Pomatiidae","Pomatias elegans",,"Pomatias",,"elegans",,"(O. F. Müller, 1774)",2013-08-10,2013,"HumanObservation",,20,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:9b2be12ef6e10587cfe6b2986f3901cf","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
17,"WL:SNAIL:ES:OCC:00016","Helicidae","Cornu aspersum",,"Cornu",,"aspersum",,"(O. F. Müller, 1774)",2013-08-10,2013,"HumanObservation","adult",1,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:088e8b0d285624830ba482c8382c0e80","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
18,"WL:SNAIL:ES:OCC:00017","Valloniidae","Vallonia costata",,"Vallonia",,"costata",,"(O. F. Müller, 1774)",2013-08-10,2013,"HumanObservation",,20,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:e341186528902a8da5c15dada7a30d53","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
19,"WL:SNAIL:ES:OCC:00018","Clausiliidae","Clausilia bidentata",,"Clausilia",,"bidentata",,"(Strøm, 1765)",2013-08-10,2013,"HumanObservation",,20,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:201f93f48b48a2210bde594cb6f0584e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
20,"WL:SNAIL:ES:OCC:00019","Megalomastomatidae","Obscurella bicostulata",,"Obscurella",,"bicostulata",,"(Gofas, 1989)",2013-08-10,2013,"HumanObservation","adult",10,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:ecaa269d66a3671ac40b36fbc0070227","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
21,"WL:SNAIL:ES:OCC:00020","Megalomastomatidae","Obscurella crassilabrum",,"Obscurella",,"crassilabrum",,"(Dupuy, 1849)",2013-08-10,2013,"HumanObservation","adult",1,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:06250ac67774633008cb4f96429f8454","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
22,"WL:SNAIL:ES:OCC:00021","Testacellidae","Testacella maugei",,"Testacella",,"maugei",,"Férussac, 1819",2013-08-10,2013,"HumanObservation","adult",1,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:f9b836ebc7aaf8934c3e7c889a248000","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
23,"WL:SNAIL:ES:OCC:00022","Megalomastomatidae","Obscurella spec.",,"Obscurella",,,,,2013-08-10,2013,"HumanObservation","adult",1,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert","small dark shell with closely spaced white ribs","empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:eb6fa3f61e7f4b11a36f11de1d4c0599","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
24,"WL:SNAIL:ES:OCC:00023","Lymnaeidae","Galba truncatula",,"Galba",,"truncatula",,"(O. F. Müller, 1774)",2013-08-10,2013,"HumanObservation","adult",1,"exact count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:4497da3d5e3ef61d73279635415cfa16","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
25,"WL:SNAIL:ES:OCC:00024","Physidae","Physella acuta",,"Physella",,"acuta",,"(Draparnaud, 1805)",2013-08-10,2013,"HumanObservation",,20,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:55f8a871a14a4768b5418c4cd77fd40b","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
26,"WL:SNAIL:ES:OCC:00025","Planorbidae","Ancylus fluviatilis",,"Ancylus",,"fluviatilis",,"O. F. Müller, 1774",2013-08-10,2013,"HumanObservation",,30,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:f89f832cee0af764584c5fdf2c84b0bc","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
27,"WL:SNAIL:ES:OCC:00026","Tateidae","Potamopyrgus antipodarum",,"Potamopyrgus",,"antipodarum",,"(Gray, 1843)",2013-08-10,2013,"HumanObservation",,15,"estimate count",43.346206,-2.637003,100,"Santimamiñe","Kortezubi","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell | found at the bottom of fast flowing stream","Animalia","sp.","checklist_snails_grancanaria:taxon:dedfc4db712063102f022beb7a51eb6e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
